Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,Code,Label,2_Merkmal_Code,2_Merkmal_Label,Code_Monat,Monat,Ankuenfte,Uebernachtungen
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,02,February,468971,1220767
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,03,March,589349,1386467
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,04,April,677114,1666840
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,05,May,818007,1927351
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,06,June,835810,2055064
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,07,July,816452,2136246
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,08,August,882343,2180135
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,09,September,815584,1951221
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,10,October,779666,1968442
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,11,November,644734,1479376
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,14,Sachsen,MONAT,Monate,12,December,719478,1691610
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,01,January,173361,424008
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,02,February,193473,494901
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,03,March,233973,549807
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,04,April,288344,711219
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,05,May,365052,832559
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,06,June,384735,898257
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,07,July,364159,944266
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,08,August,385764,930818
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,09,September,378719,864996
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,10,October,340385,842166
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,11,November,258608,586704
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,15,Sachsen-Anhalt,MONAT,Monate,12,December,237127,565479
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,01,January,304091,1056116
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,02,February,376664,1205647
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,03,March,508668,1707674
45412,Monatserhebung im Tourismus,JAHR,Jahr,2019,DLAND,Bundesländer,01,Schleswig-Holstein,MONAT,Monate,04,April,762762,2926173
